task_id,asset_id,task_type,priority,status,creation_date
T0091,A117,inspection,medium,completed,2025-08-28
T0092,A196,repair,low,completed,2025-09-10
T0093,A127,repair,high,completed,2025-10-17
T0094,A071,repair,medium,completed,2025-09-07
T0095,A086,repair,high,open,2025-09-10
T0096,A033,repair,high,completed,2025-10-04
T0097,A081,inspection,medium,open,2025-10-06
T0098,A152,repair,high,completed,2025-08-17
T0099,A061,inspection,low,scheduled,2025-10-02
T0100,A061,repair,low,completed,2025-09-01
T0101,A098,inspection,high,completed,2025-09-05
T0102,A028,repair,medium,open,2025-08-18
T0103,A186,inspection,high,completed,2025-10-07
T0104,A043,repair,low,scheduled,2025-10-02
T0105,A169,inspection,high,open,2025-09-11
T0106,A167,inspection,high,open,2025-10-28
T0107,A086,inspection,low,completed,2025-10-01
T0108,A177,inspection,high,open,2025-10-07
T0109,A017,inspection,high,open,2025-10-03
T0110,A098,inspection,medium,open,2025-09-25
T0111,A198,repair,medium,open,2025-09-27
T0112,A198,inspection,low,open,2025-08-29
T0113,A098,repair,low,open,2025-10-27
T0114,A065,repair,low,scheduled,2025-10-20
T0115,A074,repair,medium,completed,2025-10-18
T0116,A085,repair,low,scheduled,2025-10-08
T0117,A005,repair,low,open,2025-09-18
T0118,A002,inspection,low,open,2025-08-10
T0119,A022,inspection,medium,completed,2025-10-18
T0120,A112,inspection,high,scheduled,2025-08-08
T0121,A057,repair,low,completed,2025-10-10
T0122,A066,inspection,high,scheduled,2025-10-29
T0123,A074,inspection,low,open,2025-09-14
T0124,A098,inspection,high,completed,2025-09-15
T0125,A144,inspection,medium,completed,2025-09-25
T0126,A112,inspection,medium,open,2025-08-29
T0127,A179,repair,low,completed,2025-09-08
T0128,A125,inspection,high,scheduled,2025-09-14
T0129,A167,repair,medium,scheduled,2025-10-30
T0130,A086,repair,low,scheduled,2025-10-11
T0131,A076,repair,low,scheduled,2025-09-14
T0132,A088,repair,medium,open,2025-09-18
T0133,A168,repair,medium,completed,2025-08-24
T0134,A038,inspection,low,scheduled,2025-08-09
T0135,A188,inspection,high,open,2025-11-04
T0136,A059,inspection,high,completed,2025-08-25
T0137,A138,repair,high,completed,2025-09-19
T0138,A099,inspection,low,open,2025-09-06
T0139,A192,inspection,medium,open,2025-11-06
T0140,A063,repair,low,scheduled,2025-09-22
T0141,A049,repair,medium,completed,2025-09-29
T0142,A192,repair,high,completed,2025-09-18
T0143,A032,repair,high,open,2025-09-14
T0144,A135,inspection,medium,completed,2025-08-30
T0145,A021,repair,medium,scheduled,2025-08-29
T0146,A020,repair,low,completed,2025-08-21
T0147,A154,inspection,high,open,2025-10-09
T0148,A127,inspection,low,open,2025-09-05
T0149,A068,repair,low,scheduled,2025-10-09
T0150,A110,inspection,low,scheduled,2025-10-03
