timestamp,vehicle_id,speed_kph,engine_temp_c,fuel_used_l,odometer_km,lat,lon
2025-11-06T07:28:10:000Z,V007,58,86,1.8,196645,22.130238,81.314516
2025-11-06T09:19:10:000Z,V016,83,89,1.14,218830,25.06177,70.232765
2025-11-06T08:14:10:000Z,V016,72,70,1.61,111791,21.409782,75.662693
2025-11-06T02:51:10:000Z,V002,7,86,2.5,54849,20.020406,77.175849
2025-11-06T09:26:10:000Z,V034,61,75,1.53,24817,27.986523,83.955496
2025-11-06T02:09:10:000Z,V033,48,98,0.61,54423,24.775079,86.566265
2025-11-06T09:08:10:000Z,V009,61,60,2.04,219387,23.159453,79.781385
2025-11-06T09:11:10:000Z,V045,74,67,1.61,92663,22.300948,74.304029
2025-11-06T05:52:10:000Z,V032,43,63,2.51,155871,27.619902,79.886657
2025-11-06T04:35:10:000Z,V036,66,113,0.53,112415,20.828741,87.723948
2025-11-06T04:27:10:000Z,V034,112,75,0.18,48994,25.841436,87.272291
2025-11-06T02:29:10:000Z,V017,118,66,1.63,97012,22.17731,82.86816
2025-11-06T03:37:10:000Z,V040,7,105,2.61,41822,27.707964,84.618285
2025-11-06T01:53:10:000Z,V029,116,92,1.71,112396,20.550112,72.610905
2025-11-06T08:43:10:000Z,V035,115,96,1.2,36103,27.174154,87.947244
2025-11-06T06:05:10:000Z,V013,87,92,2.72,27339,26.608732,71.427105
2025-11-06T06:28:10:000Z,V037,21,76,0.36,112985,27.1725,72.147983
2025-11-06T05:21:10:000Z,V018,59,102,1.88,183794,20.746261,70.676042
2025-11-06T07:11:10:000Z,V028,67,87,2.55,58359,25.322369,80.581852
2025-11-06T08:42:10:000Z,V018,30,81,2.9,120050,21.73604,70.367675
2025-11-06T04:20:10:000Z,V034,105,101,1.02,224962,26.770904,75.824228
2025-11-06T08:57:10:000Z,V001,22,111,2.89,237744,27.084776,81.480397
2025-11-06T05:12:10:000Z,V048,21,99,3.0,38395,20.840446,80.231322
2025-11-06T07:33:10:000Z,V008,11,111,2.28,211608,21.530413,75.784094
2025-11-06T06:42:10:000Z,V015,43,108,2.4,149750,27.510212,70.747412
2025-11-06T08:47:10:000Z,V020,113,64,0.58,100917,23.796011,70.069417
2025-11-06T04:29:10:000Z,V016,7,65,0.13,230639,23.426153,83.501917
2025-11-06T03:42:10:000Z,V015,40,73,2.43,100945,22.848265,76.118837
2025-11-06T09:30:10:000Z,V025,1,72,2.35,220324,21.953678,76.825548
2025-11-06T09:07:10:000Z,V015,5,98,1.32,148867,20.488152,73.031287
2025-11-06T01:50:10:000Z,V035,54,75,0.96,105553,20.484534,82.646347
2025-11-06T01:48:10:000Z,V024,57,118,2.9,25000,21.628089,73.447087
2025-11-06T06:43:10:000Z,V015,51,99,0.15,81230,23.918425,85.285854
2025-11-06T08:41:10:000Z,V039,100,65,1.2,62923,23.701107,73.295462
2025-11-06T06:17:10:000Z,V012,50,113,0.99,85457,21.064907,74.103126
2025-11-06T05:16:10:000Z,V009,118,103,0.38,219960,27.836708,87.198877
2025-11-06T06:21:10:000Z,V000,119,99,2.61,190355,21.757331,81.691204
2025-11-06T03:30:10:000Z,V043,39,89,0.36,173341,25.764573,70.027906
2025-11-06T02:26:10:000Z,V014,46,118,0.95,167107,25.331811,74.638678
2025-11-06T09:11:10:000Z,V022,73,88,2.04,230126,22.736546,78.249767
2025-11-06T06:55:10:000Z,V018,114,102,2.37,38573,24.981435,84.598544
2025-11-06T02:07:10:000Z,V028,107,104,0.8,73863,23.001176,70.855015
2025-11-06T02:05:10:000Z,V007,49,72,0.21,78750,20.43953,70.909977
2025-11-06T05:02:10:000Z,V031,46,97,2.52,156697,25.852357,87.800725
2025-11-06T07:39:10:000Z,V035,2,113,2.67,94103,22.05307,71.329469
2025-11-06T08:28:10:000Z,V044,52,68,1.93,196886,26.144343,86.979575
2025-11-06T01:31:10:000Z,V032,48,117,1.77,31581,22.952291,73.864369
2025-11-06T05:22:10:000Z,V020,104,118,2.8,230706,23.834865,78.553261
2025-11-06T05:18:10:000Z,V045,64,103,1.72,224044,23.747676,79.144955
2025-11-06T03:10:10:000Z,V005,6,68,0.4,46964,22.746989,71.358543
2025-11-06T04:03:10:000Z,V040,40,76,2.35,234274,24.706471,87.372635
2025-11-06T08:59:10:000Z,V029,81,95,1.81,59557,26.434098,70.868281
2025-11-06T06:56:10:000Z,V029,64,79,2.8,164775,26.015909,72.313854
2025-11-06T09:11:10:000Z,V019,45,101,1.89,227110,27.790189,86.578533
2025-11-06T02:59:10:000Z,V031,116,115,2.3,60038,23.241491,82.85423
2025-11-06T08:11:10:000Z,V021,31,82,0.69,234522,27.250875,86.701897
2025-11-06T05:10:10:000Z,V013,14,117,0.13,103063,22.893596,87.065042
2025-11-06T01:33:10:000Z,V039,44,104,0.17,180695,27.094957,85.921334
2025-11-06T01:55:10:000Z,V046,77,111,0.64,232339,23.965939,75.905566
2025-11-06T03:08:10:000Z,V012,107,102,0.77,112997,21.708609,81.023807
2025-11-06T08:43:10:000Z,V008,65,90,0.79,128396,26.017549,77.248037
2025-11-06T08:56:10:000Z,V044,34,92,2.57,112007,21.144697,79.073853
2025-11-06T05:02:10:000Z,V013,40,77,0.92,67403,22.978123,86.632538
2025-11-06T04:03:10:000Z,V037,79,67,0.48,46840,27.960046,86.671305
2025-11-06T06:47:10:000Z,V002,18,69,1.09,122780,23.422061,86.61519
2025-11-06T07:51:10:000Z,V032,68,63,2.84,46857,25.685883,71.321313
2025-11-06T01:55:10:000Z,V021,73,119,2.68,210337,26.201176,76.409497
2025-11-06T07:27:10:000Z,V013,77,108,0.2,203001,20.786098,78.796953
2025-11-06T01:28:10:000Z,V021,63,117,0.82,161460,25.754352,81.066694
2025-11-06T08:09:10:000Z,V015,61,118,1.28,118362,24.884976,83.65641
2025-11-06T04:43:10:000Z,V012,43,64,0.89,164837,23.115203,72.335834
2025-11-06T06:41:10:000Z,V032,21,97,0.72,143354,26.166232,78.973927
2025-11-06T08:43:10:000Z,V013,34,89,1.79,124136,22.335918,81.834647
2025-11-06T07:01:10:000Z,V044,108,64,0.69,30787,27.218876,70.656229
2025-11-06T08:20:10:000Z,V001,101,119,2.69,239092,23.208973,71.948099
2025-11-06T01:50:10:000Z,V022,13,117,0.94,80631,22.433683,86.400719
2025-11-06T01:22:10:000Z,V012,0,106,2.65,92652,25.639972,71.316009
2025-11-06T03:38:10:000Z,V033,104,69,0.98,138850,24.012826,84.114189
2025-11-06T05:43:10:000Z,V013,95,93,1.17,173975,20.551456,80.490237
2025-11-06T08:19:10:000Z,V023,61,64,2.81,105314,24.354564,73.697927
2025-11-06T04:19:10:000Z,V048,26,72,1.15,56044,22.635512,86.37423
2025-11-06T05:31:10:000Z,V037,73,100,1.07,90984,25.924167,82.261426
2025-11-06T01:29:10:000Z,V007,13,110,2.82,104964,26.770583,82.400314
2025-11-06T03:15:10:000Z,V026,76,79,1.8,169665,25.333821,84.793478
2025-11-06T07:28:10:000Z,V027,75,119,1.2,50376,21.476949,85.549884
2025-11-06T06:23:10:000Z,V019,104,84,1.76,43136,25.879767,75.691401
2025-11-06T05:47:10:000Z,V048,0,116,2.98,142208,27.678493,71.660738
2025-11-06T03:43:10:000Z,V010,32,96,2.93,243729,21.259177,80.570426
2025-11-06T06:58:10:000Z,V001,100,77,0.68,99413,24.193374,71.316564
2025-11-06T04:28:10:000Z,V035,60,104,1.85,169242,21.279438,87.459573
2025-11-06T07:01:10:000Z,V008,24,101,1.85,57870,22.514327,74.071621
2025-11-06T05:25:10:000Z,V043,11,89,0.3,183761,20.738565,76.9663
2025-11-06T02:48:10:000Z,V046,41,91,0.33,68854,25.561439,76.745638
2025-11-06T06:55:10:000Z,V031,92,80,1.83,102589,27.752012,85.764683
2025-11-06T03:44:10:000Z,V019,64,95,0.57,177745,22.868517,87.924487
2025-11-06T05:22:10:000Z,V019,82,70,0.18,120297,27.453664,78.611155
2025-11-06T08:34:10:000Z,V031,64,73,2.41,94081,26.386347,72.243572
2025-11-06T09:37:10:000Z,V016,13,94,2.82,212386,20.681391,84.99913
2025-11-06T03:37:10:000Z,V044,4,89,1.87,214483,20.537745,87.715241
2025-11-06T05:28:10:000Z,V000,55,107,2.36,158240,24.65153,81.595157
2025-11-06T02:05:10:000Z,V008,49,64,2.76,139753,21.566877,79.140495
2025-11-06T05:11:10:000Z,V004,23,94,0.59,207930,22.617327,83.223193
2025-11-06T07:44:10:000Z,V012,87,109,1.22,41811,27.719115,73.67335
2025-11-06T07:14:10:000Z,V023,56,68,2.1,93671,26.312374,77.946466
2025-11-06T04:22:10:000Z,V014,86,82,2.53,52531,26.608279,80.841931
2025-11-06T07:05:10:000Z,V012,114,64,1.93,174319,27.608015,78.388957
2025-11-06T05:16:10:000Z,V010,63,73,2.29,155526,25.449765,79.698842
2025-11-06T06:09:10:000Z,V028,12,75,1.02,65039,22.285768,75.145121
2025-11-06T06:56:10:000Z,V015,116,79,2.97,172500,26.006283,83.975257
2025-11-06T07:31:10:000Z,V001,57,70,0.38,137137,25.751186,86.378826
2025-11-06T09:35:10:000Z,V029,22,89,0.18,107340,22.450084,86.672671
2025-11-06T02:44:10:000Z,V034,15,60,1.43,29085,20.801696,74.224841
2025-11-06T01:29:10:000Z,V019,58,89,2.74,23262,26.693246,82.929209
2025-11-06T01:23:10:000Z,V006,109,74,1.96,249445,20.485503,76.084923
2025-11-06T08:37:10:000Z,V016,82,60,1.45,157326,26.592887,83.993234
2025-11-06T06:21:10:000Z,V005,31,109,2.23,234143,25.516152,81.002822
2025-11-06T08:47:10:000Z,V014,82,89,2.34,22959,21.310762,85.410787
2025-11-06T01:35:10:000Z,V026,58,101,2.34,43234,26.443037,80.605377
2025-11-06T06:16:10:000Z,V040,85,96,2.07,41875,23.807077,81.302018
2025-11-06T05:57:10:000Z,V009,98,98,0.49,80260,22.03077,78.256007
2025-11-06T07:54:10:000Z,V021,60,80,0.76,54281,21.831596,72.34879
2025-11-06T03:11:10:000Z,V012,21,99,1.24,188445,24.886612,73.205648
2025-11-06T08:09:10:000Z,V033,20,68,0.47,174767,25.91204,71.853485
2025-11-06T08:41:10:000Z,V032,74,116,0.78,38088,27.424252,86.383133
2025-11-06T05:36:10:000Z,V038,43,93,2.69,237686,21.233947,80.836288
2025-11-06T07:08:10:000Z,V006,9,88,2.4,238345,20.091305,80.858466
2025-11-06T02:30:10:000Z,V023,53,107,2.6,45711,26.548205,78.773843
2025-11-06T05:54:10:000Z,V045,15,119,1.39,199570,26.738623,85.124319
2025-11-06T06:40:10:000Z,V025,7,114,2.06,202503,21.869044,71.745117
2025-11-06T01:40:10:000Z,V020,61,89,2.78,150122,22.410748,86.117366
2025-11-06T06:24:10:000Z,V007,78,67,1.67,74393,25.033075,71.318341
2025-11-06T07:59:10:000Z,V018,13,73,1.84,37089,27.766093,75.297225
2025-11-06T05:05:10:000Z,V029,37,114,1.46,195683,20.00536,71.051276
2025-11-06T03:35:10:000Z,V021,35,76,1.81,240683,27.189263,86.380784
2025-11-06T07:46:10:000Z,V001,106,118,1.2,115332,23.864919,76.852186
2025-11-06T06:28:10:000Z,V025,79,70,0.87,28516,25.966327,85.949667
2025-11-06T09:23:10:000Z,V034,106,76,2.51,100622,22.750398,71.243091
2025-11-06T06:19:10:000Z,V017,63,65,0.86,108870,20.7884,77.264781
2025-11-06T01:48:10:000Z,V046,107,90,1.57,106471,23.692048,83.924989
2025-11-06T04:42:10:000Z,V018,10,94,2.55,171010,20.96304,81.706238
2025-11-06T05:27:10:000Z,V035,111,80,2.27,207125,22.84358,83.972609
2025-11-06T07:52:10:000Z,V020,96,61,2.1,130882,26.619244,82.745187
2025-11-06T03:02:10:000Z,V047,5,88,1.52,83855,20.03181,75.760606
2025-11-06T08:48:10:000Z,V021,44,116,0.51,46631,23.841087,76.72597
2025-11-06T06:59:10:000Z,V018,39,116,0.65,237236,25.775847,74.832689
2025-11-06T03:05:10:000Z,V044,105,88,1.97,22784,21.258578,75.910828
2025-11-06T08:39:10:000Z,V042,14,84,1.78,184118,25.058733,84.370447
2025-11-06T06:14:10:000Z,V003,116,70,2.43,59445,26.466189,84.430306
2025-11-06T03:22:10:000Z,V026,51,102,1.58,212338,25.563653,87.799222
2025-11-06T04:08:10:000Z,V015,50,84,1.73,184750,24.232313,83.781873
2025-11-06T03:37:10:000Z,V024,54,100,2.72,206978,24.899221,75.46852
2025-11-06T02:48:10:000Z,V037,96,97,2.76,141154,24.482624,83.238652
2025-11-06T01:52:10:000Z,V017,114,71,2.72,203932,22.928319,70.083006
2025-11-06T07:59:10:000Z,V034,15,60,2.85,207823,27.292042,81.571085
2025-11-06T01:21:10:000Z,V025,47,105,0.4,97034,20.411571,87.094756
2025-11-06T08:10:10:000Z,V003,95,82,2.83,31134,25.708935,72.562224
2025-11-06T06:55:10:000Z,V032,35,105,0.72,200550,22.8869,75.015817
2025-11-06T02:42:10:000Z,V007,83,104,1.5,176209,22.574256,80.06143
2025-11-06T04:53:10:000Z,V019,113,73,0.87,33101,22.62642,78.100795
2025-11-06T05:02:10:000Z,V020,71,84,1.14,47424,21.201119,73.414789
2025-11-06T09:05:10:000Z,V041,4,106,0.46,92401,24.508309,73.734608
2025-11-06T05:18:10:000Z,V026,32,61,1.38,24823,26.878359,71.075394
2025-11-06T08:07:10:000Z,V038,26,87,1.97,223549,24.153894,74.774058
2025-11-06T08:13:10:000Z,V022,32,115,2.81,247600,27.18561,70.624861
2025-11-06T05:58:10:000Z,V038,35,68,1.13,144688,26.749903,84.485447
2025-11-06T04:30:10:000Z,V036,58,119,1.82,183137,25.300537,87.439656
2025-11-06T05:06:10:000Z,V036,29,117,1.38,192068,22.299009,85.891168
2025-11-06T05:41:10:000Z,V031,55,112,0.26,198249,27.626879,70.393061
2025-11-06T04:49:10:000Z,V012,50,94,1.11,130639,27.504004,87.773859
2025-11-06T09:24:10:000Z,V043,118,115,2.7,196470,24.310006,75.33768
2025-11-06T06:33:10:000Z,V024,85,71,0.79,154594,21.758018,70.024498
2025-11-06T05:29:10:000Z,V042,40,68,1.55,184678,22.427639,77.811766
2025-11-06T08:58:10:000Z,V025,46,65,1.15,142562,20.481925,82.786346
2025-11-06T04:33:10:000Z,V044,22,91,2.06,100729,25.068296,76.567456
2025-11-06T05:21:10:000Z,V028,40,85,0.76,81282,20.26016,87.171613
2025-11-06T07:01:10:000Z,V042,39,84,0.96,88236,24.972635,82.125637
2025-11-06T02:56:10:000Z,V024,62,78,2.54,107972,25.70912,73.522062
2025-11-06T02:28:10:000Z,V043,43,92,1.91,90124,21.713572,74.086521
2025-11-06T09:06:10:000Z,V018,72,94,2.63,135745,21.732107,83.614003
2025-11-06T09:39:10:000Z,V013,50,93,1.68,167306,24.120607,86.311019
2025-11-06T02:17:10:000Z,V004,74,81,0.42,54517,27.418463,71.098013
2025-11-06T05:26:10:000Z,V048,66,62,0.17,186558,27.117011,73.259603
2025-11-06T08:42:10:000Z,V024,89,72,0.67,200189,20.550864,71.791517
2025-11-06T07:33:10:000Z,V046,51,103,0.5,24267,25.052483,83.01939
2025-11-06T07:20:10:000Z,V026,56,91,2.0,191578,22.573125,86.238756
2025-11-06T08:45:10:000Z,V024,71,117,0.14,193647,23.150019,70.305774
2025-11-06T08:58:10:000Z,V033,83,102,1.52,62934,22.617794,81.224589
2025-11-06T07:20:10:000Z,V011,45,90,1.17,48051,25.875285,76.870355
2025-11-06T07:48:10:000Z,V031,74,67,1.81,135980,27.930565,76.140797
2025-11-06T05:13:10:000Z,V016,20,72,1.2,94823,22.161338,83.632343
2025-11-06T07:12:10:000Z,V027,28,75,2.97,249913,24.283331,84.761481
2025-11-06T08:07:10:000Z,V013,93,114,2.34,90824,24.330464,79.679411
2025-11-06T03:51:10:000Z,V020,30,78,2.89,228585,21.538611,84.283451
2025-11-06T05:51:10:000Z,V002,68,107,0.22,48983,27.098702,75.359902
2025-11-06T07:22:10:000Z,V036,43,62,0.1,128684,21.929411,85.077406
2025-11-06T02:44:10:000Z,V034,112,92,0.59,159249,20.643809,70.621114
2025-11-06T06:17:10:000Z,V004,78,81,0.56,222886,26.222425,71.710785
2025-11-06T03:30:10:000Z,V048,61,76,1.93,202771,22.622326,70.85541
2025-11-06T03:38:10:000Z,V002,109,96,2.09,246579,20.665221,73.110747
2025-11-06T08:03:10:000Z,V040,50,108,1.03,162082,26.53676,80.328818
2025-11-06T07:38:10:000Z,V037,97,92,2.69,200093,27.974973,85.924823
2025-11-06T03:30:10:000Z,V028,18,109,1.43,92196,23.752926,74.344204
2025-11-06T08:31:10:000Z,V018,97,107,0.82,149153,25.400042,79.758697
2025-11-06T05:15:10:000Z,V027,119,72,1.02,215759,22.075265,81.29732
2025-11-06T08:25:10:000Z,V014,18,62,1.78,66438,26.746223,73.692545
2025-11-06T09:17:10:000Z,V042,108,63,2.36,119360,21.634588,87.84619
2025-11-06T03:59:10:000Z,V039,63,81,2.65,205158,23.952908,80.572938
2025-11-06T05:03:10:000Z,V032,38,72,1.79,68038,24.508273,73.83035
2025-11-06T03:24:10:000Z,V036,23,87,2.25,33590,23.817521,72.815385
2025-11-06T07:05:10:000Z,V044,39,74,1.93,52264,23.834891,73.693532
2025-11-06T08:02:10:000Z,V001,7,118,0.76,119500,27.588241,81.26895
2025-11-06T08:06:10:000Z,V006,66,96,2.71,131524,25.621487,87.905287
2025-11-06T07:06:10:000Z,V014,95,96,0.46,227244,25.091629,73.492869
2025-11-06T02:06:10:000Z,V028,45,65,1.66,241765,20.433764,81.557841
2025-11-06T05:56:10:000Z,V000,91,73,2.42,146782,22.882423,82.265165
2025-11-06T09:27:10:000Z,V030,28,98,2.06,47881,23.125557,78.193127
2025-11-06T08:31:10:000Z,V010,9,74,1.79,211039,21.945133,78.523846
2025-11-06T07:21:10:000Z,V005,97,93,2.75,81425,25.038827,75.02678
2025-11-06T02:04:10:000Z,V002,28,117,0.68,157863,27.524802,83.795969
2025-11-06T02:46:10:000Z,V039,28,74,2.63,37604,27.07521,77.998342
2025-11-06T03:16:10:000Z,V042,10,107,1.5,110591,24.415946,85.03128
2025-11-06T03:34:10:000Z,V044,56,62,2.29,28322,22.254146,78.860585
2025-11-06T03:37:10:000Z,V021,18,72,0.41,166778,24.12173,80.815583
2025-11-06T03:46:10:000Z,V030,66,63,2.16,60040,22.548408,76.385764
2025-11-06T04:22:10:000Z,V020,51,92,0.21,36984,21.382849,75.676826
2025-11-06T07:30:10:000Z,V047,93,76,1.92,137552,21.607924,85.418458
2025-11-06T03:28:10:000Z,V023,46,79,1.74,172912,20.378997,74.772261
2025-11-06T07:43:10:000Z,V033,41,105,1.17,32857,22.026899,79.532879
2025-11-06T09:19:10:000Z,V004,92,101,1.94,54893,20.39785,86.861283
2025-11-06T02:29:10:000Z,V007,100,102,0.74,239576,27.787027,82.273388
2025-11-06T02:17:10:000Z,V019,64,83,2.15,73932,21.222425,87.9887
2025-11-06T05:38:10:000Z,V023,45,105,2.45,97599,24.631472,72.220175
2025-11-06T02:06:10:000Z,V044,3,95,1.71,87904,20.455596,76.834931
2025-11-06T04:13:10:000Z,V036,31,85,1.75,190896,26.122172,85.199681
2025-11-06T03:12:10:000Z,V049,74,110,1.59,171300,27.694034,82.478491
2025-11-06T01:44:10:000Z,V008,102,80,1.94,230817,26.493635,79.364426
2025-11-06T01:28:10:000Z,V048,92,101,1.6,235040,26.778386,70.293304
2025-11-06T04:17:10:000Z,V010,61,116,1.67,165753,20.286877,75.179207
2025-11-06T02:51:10:000Z,V048,100,107,0.46,146791,23.292936,71.483922
2025-11-06T07:31:10:000Z,V045,65,113,2.16,56685,27.851537,84.712658
2025-11-06T08:07:10:000Z,V000,64,83,2.21,146259,24.817079,77.391593
2025-11-06T04:53:10:000Z,V039,84,66,2.59,146824,26.550122,72.031303
2025-11-06T07:58:10:000Z,V014,75,65,1.4,120040,25.818933,83.42453
2025-11-06T09:05:10:000Z,V034,97,106,2.61,65765,27.663529,77.779032
2025-11-06T08:27:10:000Z,V038,67,79,0.19,195098,22.643673,77.996133
2025-11-06T04:50:10:000Z,V024,29,60,2.52,51771,24.800226,77.460259
2025-11-06T04:18:10:000Z,V036,59,91,2.68,232305,20.922982,71.647754
2025-11-06T08:37:10:000Z,V024,50,97,1.57,209411,23.992101,76.180283
2025-11-06T02:18:10:000Z,V015,88,73,1.8,246783,25.951651,83.477757
2025-11-06T05:55:10:000Z,V031,86,65,1.61,59435,26.99846,80.939476
2025-11-06T04:12:10:000Z,V037,37,84,2.83,57533,22.192199,82.294138
2025-11-06T02:08:10:000Z,V016,40,116,2.45,168198,27.73845,76.040994
2025-11-06T02:46:10:000Z,V019,75,60,0.98,157718,21.192504,77.678346
2025-11-06T03:51:10:000Z,V025,59,78,1.0,30185,23.716612,71.188538
2025-11-06T06:28:10:000Z,V006,48,108,0.32,170775,26.847857,73.829397
2025-11-06T03:45:10:000Z,V010,112,92,1.12,88057,25.839967,74.783552
2025-11-06T07:17:10:000Z,V006,67,107,2.95,89617,24.804171,86.451108
2025-11-06T03:34:10:000Z,V015,47,63,2.85,202379,25.364009,83.442609
2025-11-06T03:44:10:000Z,V027,3,91,1.03,49978,20.306104,74.810374
2025-11-06T08:51:10:000Z,V045,2,92,0.25,245380,21.853358,84.492565
2025-11-06T02:22:10:000Z,V035,83,97,2.18,45457,23.948157,72.755628
2025-11-06T09:33:10:000Z,V006,19,80,1.18,140908,24.595249,85.190582
2025-11-06T03:08:10:000Z,V015,110,106,2.1,96101,25.154175,76.290941
2025-11-06T01:39:10:000Z,V042,82,75,1.69,236031,24.17301,87.490118
2025-11-06T02:32:10:000Z,V034,87,106,2.84,239579,27.263196,79.976363
2025-11-06T03:49:10:000Z,V029,27,79,1.09,30048,23.611664,85.365272
2025-11-06T04:30:10:000Z,V009,100,102,1.01,107497,27.736816,75.71065
2025-11-06T08:00:10:000Z,V001,28,69,2.99,152429,26.166768,80.445474
2025-11-06T05:20:10:000Z,V037,3,78,2.02,108753,27.68958,79.954815
2025-11-06T03:42:10:000Z,V017,51,93,1.74,242176,27.270192,76.081207
2025-11-06T01:27:10:000Z,V035,104,104,2.77,137156,24.325963,70.795099
2025-11-06T04:12:10:000Z,V009,18,108,0.84,76777,27.697213,86.291912
2025-11-06T07:39:10:000Z,V019,110,87,2.19,249736,26.18169,77.942889
2025-11-06T06:31:10:000Z,V029,79,78,1.56,145238,20.254238,79.931856
2025-11-06T09:35:10:000Z,V048,11,97,2.31,161850,21.734662,86.638162
2025-11-06T02:50:10:000Z,V015,102,103,1.53,165556,25.288033,70.852765
2025-11-06T09:00:10:000Z,V027,73,86,0.51,168857,26.039194,85.75531
2025-11-06T07:36:10:000Z,V044,21,84,1.77,97577,26.259154,85.362694
2025-11-06T05:26:10:000Z,V022,16,110,2.35,201065,24.401976,81.13944
2025-11-06T07:36:10:000Z,V025,21,62,1.67,81459,25.283822,75.341579
2025-11-06T07:08:10:000Z,V013,60,104,1.8,51076,26.717716,78.214888
2025-11-06T04:36:10:000Z,V007,96,82,2.24,201594,24.174784,81.127558
2025-11-06T07:55:10:000Z,V000,1,90,2.84,149987,25.713013,72.026817
2025-11-06T09:30:10:000Z,V032,53,103,0.48,52401,21.560141,78.504066
2025-11-06T05:45:10:000Z,V024,88,107,1.13,182047,21.3615,77.144505
2025-11-06T08:40:10:000Z,V046,27,70,1.42,174752,21.576741,87.785276
2025-11-06T06:29:10:000Z,V037,73,77,0.92,94475,21.982738,70.6765
2025-11-06T01:50:10:000Z,V005,29,99,2.47,242562,24.638188,70.256408
2025-11-06T02:58:10:000Z,V012,50,96,1.27,241391,26.096625,72.014709
2025-11-06T04:20:10:000Z,V020,25,83,2.75,43508,27.825943,77.1219
2025-11-06T05:37:10:000Z,V001,104,119,1.51,202631,20.052452,73.200327
2025-11-06T06:51:10:000Z,V044,116,87,0.73,124090,27.189745,71.754976
2025-11-06T04:48:10:000Z,V042,50,61,0.72,148069,27.544706,84.57099
2025-11-06T08:22:10:000Z,V040,99,79,1.64,105851,25.247893,73.377172
2025-11-06T05:54:10:000Z,V045,26,79,2.35,179112,27.297799,74.530579
2025-11-06T05:34:10:000Z,V022,110,108,0.66,203230,20.420502,73.948098
2025-11-06T08:23:10:000Z,V015,40,81,0.65,249919,25.429497,72.624609
2025-11-06T08:14:10:000Z,V005,6,62,0.36,53207,22.187857,81.033374
2025-11-06T03:02:10:000Z,V015,12,90,0.57,76821,22.854886,71.569487
2025-11-06T05:39:10:000Z,V000,109,106,1.23,163218,21.871955,76.274441
2025-11-06T03:28:10:000Z,V008,84,78,0.12,164491,20.041776,80.970531
2025-11-06T04:34:10:000Z,V044,47,60,1.48,244566,20.895873,83.501596
2025-11-06T01:48:10:000Z,V032,71,62,1.88,215369,23.575183,72.416386
